eenheid	omschrijving	open
cesb-	venige natte heide met soorten uit de hoogveenflora met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cesb+	venige natte heide met soorten uit de hoogveenflora met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cg	droge struikheidevegetatie	FALSE
cg-	droge struikheidevegetatie, zwak ontwikkeld en/of weinig voorkomend	FALSE
cg+	droge struikheidevegetatie, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cgb	droge struikheidevegetatie met beperkte opslag van struiken en bomen	FALSE
cgb-	droge struikheidevegetatie met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cgb+	droge struikheidevegetatie met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cm	gedegradeerde heide met dominatie van pijpenstrootje	FALSE
cm-	gedegradeerde heide met dominatie van pijpenstrootje, zwak ontwikkeld en/of weinig voorkomend	FALSE
cm+	gedegradeerde heide met dominatie van pijpenstrootje, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cmb	gedegradeerde heide met dominatie van pijpenstrootje met beperkte opslag van struiken en bomen	FALSE
cmb-	gedegradeerde heide met dominatie van pijpenstrootje met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cmb+	gedegradeerde heide met dominatie van pijpenstrootje met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cor	hazelaar (Corylus avellana)	FALSE
cp	gedegradeerde heide met dominatie van adelaarsvaren	FALSE
cp-	gedegradeerde heide met dominatie van adelaarsvaren, zwak ontwikkeld en/of weinig voorkomend	FALSE
cp+	gedegradeerde heide met dominatie van adelaarsvaren, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cpb	gedegradeerde heide met dominatie van adelaarsvaren met beperkte opslag van struiken en bomen	FALSE
cpb-	gedegradeerde heide met dominatie van adelaarsvaren met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cpb+	gedegradeerde heide met dominatie van adelaarsvaren met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cra	meidoorn (Crataegus sp.)	TRUE
cv	droge heide met bosbes	FALSE
cv-	droge heide met bosbes, zwak ontwikkeld en/of weinig voorkomend	FALSE
cv+	droge heide met bosbes, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cvb	droge heide met bosbes met beperkte opslag van struiken en bomen	FALSE
cvb-	droge heide met bosbes met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cvb+	droge heide met bosbes met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
d	strand en duinen - slikken en schorren	FALSE
da	schorre	FALSE
da-	schorre, zwak ontwikkeld en/of weinig voorkomend	FALSE
da+	schorre, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
dd	stuifduinen aan de kust	FALSE
dd-	stuifduinen aan de kust, zwak ontwikkeld en/of weinig voorkomend	FALSE
dd+	stuifduinen aan de kust, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
dl	strand	FALSE
dl-	strand, zwak ontwikkeld en/of weinig voorkomend	FALSE
dl+	strand met embryonale duinvorming	FALSE
dla	strand met kunstwerken	FALSE
dla-	strand met kunstwerken, zwak ontwikkeld en/of weinig voorkomend	FALSE
dla+	strand met kunstwerken met embryonale duinvorming	FALSE
dls	strand zonder kunstwerken	FALSE
dls-	strand zonder kunstwerken, zwak ontwikkeld en/of weinig voorkomend	FALSE
dls+	strand zonder  kunstwerken met embryonale duinvorming	FALSE
dm	binnenlands vegetatiearm stuifduin	FALSE
dm-	binnenlands vegetatiearm stuifduin, weinig voorkomend in complex	FALSE
dm+	binnenlands vegetatiearm stuifduin, veelvuldig voorkomend in complex	FALSE
ds	slik	FALSE
ds-	slik, zwak ontwikkeld en/of weinig voorkomend	FALSE
ds+	slik, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
duits	Duitsland	FALSE
dz	zandbank of zandplaat	FALSE
dz-	zandbank of zandplaat, zwak ontwikkeld en/of weinig voorkomend	FALSE
dz+	zandbank of zandplaat, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
endym	aanwezigheid van wilde hyacint	FALSE
f	eiken- en beukenbossen	FALSE
fa	beukenbos met voorjaarsflora, zonder wilde hyacint	FALSE
fa-	beukenbos met voorjaarsflora, zonder wilde hyacint, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fa+	beukenbos met voorjaarsflora, zonder wilde hyacint, vegetatiekundig goed ontwikkeld bos	FALSE
fag	beuk (Fagus sylvatica)	FALSE
fe	beukenbos met wilde hyacint	FALSE
fe-	beukenbos met wilde hyacint, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fe+	beukenbos met wilde hyacint, vegetatiekundig goed ontwikkeld bos	FALSE
fk	beukenbos op mergel	FALSE
fk-	beukenbos op mergel, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fk+	beukenbos op mergel, vegetatiekundig goed ontwikkeld bos	FALSE
fl	beukenbos met witte veldbies	FALSE
fl-	beukenbos met witte veldbies, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fl+	beukenbos met witte veldbies, vegetatiekundig goed ontwikkeld bos	FALSE
fm	beukenbos met parelgras en lievevrouwebedstro	FALSE
fm-	beukenbos met parelgras en lievevrouwebedstro, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fm+	beukenbos met parelgras en lievevrouwebedstro, vegetatiekundig goed ontwikkeld bos	FALSE
fran	sporkehout (Frangula alnus)	FALSE
frank	Frankrijk	FALSE
frax	es (Fraxinus excelcior)	FALSE
fs	zuur beukenbos	FALSE
fs-	zuur beukenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld bos	FALSE
fs+	zuur beukenbos, vegetatiekundig goed ontwikkeld bos	FALSE
gml	gemengd loofhout	FALSE
gmn	gemengd naaldhout	FALSE
h	graslanden	TRUE
ha	struisgrasvegetatie	TRUE
ha-	struisgrasvegetatie, zwak ontwikkeld en/of weinig voorkomend	TRUE
ha+	struisgrasvegetatie, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hab	struisgrasvegetatie met beperkte opslag van struiken en bomen	TRUE
hab-	struisgrasvegetatie met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
hab+	struisgrasvegetatie met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hac	buntgrasverbond	FALSE
hac-	buntgrasverbond, zwak ontwikkeld en/of weinig voorkomend	FALSE
hac+	buntgrasverbond, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hacb	buntgrasverbond met beperkte opslag van struiken en bomen	FALSE
hacb-	buntgrasverbond met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hacb+	buntgrasverbond met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
had	droog duingrasland van kalkarme milieus	FALSE
had-	droog duingrasland van kalkarme milieus, zwak ontwikkeld en/of weinig voorkomend	FALSE
had+	droog duingrasland van kalkarme milieus, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hat	dwerghaververbond	TRUE
hat-	dwerghaververbond, zwak ontwikkeld en/of weinig voorkomend	TRUE
hat+	dwerghaververbond, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hatb	dwerghaververbond met beperkte opslag van struiken en bomen	TRUE
hatb-	dwerghaververbond met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
hatb+	dwerghaververbond met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hc	dotterbloemgrasland	FALSE
hc-	dotterbloemgrasland, zwak ontwikkeld en/of weinig voorkomend	FALSE
hc+	dotterbloemgrasland, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hcb	dotterbloemgrasland met beperkte opslag van struiken en bomen	FALSE
hcb-	dotterbloemgrasland met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hcb+	dotterbloemgrasland met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hd	droog duingrasland van kalkrijke milieus	FALSE
hd-	droog duingrasland van kalkrijke milieus, zwak ontwikkeld en/of weinig voorkomend	FALSE
hd+	droog duingrasland van kalkrijke milieus, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hdb	droog duingrasland van kalkrijke milieus met beperkte opslag van struiken en bomen	FALSE
hdb-	droog duingrasland van kalkrijke milieus met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hdb+	droog duingrasland van kalkrijke milieus met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hf	moerasspirearuigte	FALSE
hf-	moerasspirearuigte, zwak ontwikkeld en/of weinig voorkomend	FALSE
hf+	moerasspirearuigte, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hfb	moerasspirearuigte met beperkte opslag van struiken en bomen	FALSE
hfb-	moerasspirearuigte met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hfb+	moerasspirearuigte met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hfc	moerasspirearuigte met moesdistel	FALSE
hfc-	moerasspirearuigte met moesdistel, zwak ontwikkeld en/of weinig voorkomend	FALSE
hfc+	moerasspirearuigte met moesdistel, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hfcb	moerasspirearuigte met moesdistel met beperkte opslag van struiken en bomen	FALSE
hfcb-	moerasspirearuigte met moesdistel met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hfcb+	moerasspirearuigte met moesdistel met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hfl	natte ruigte met grote wederik en hennegras	FALSE
hfl-	natte ruigte met grote wederik en hennegras, zwak ontwikkeld en/of weinig voorkomend	FALSE
hfl+	natte ruigte met grote wederik en hennegras, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hflb	natte ruigte met grote wederik en hennegras met beperkte opslag van struiken en bomen	FALSE
hflb-	natte ruigte met grote wederik en hennegras met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hflb+	natte ruigte met grote wederik en hennegras met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hft	moerasspirearuigte met poelruit	FALSE
hft-	moerasspirearuigte met poelruit, zwak ontwikkeld en/of weinig voorkomend	FALSE
hft+	moerasspirearuigte met poelruit, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hftb	moerasspirearuigte met poelruit en beperkte opslag van struiken en bomen	FALSE
hftb-	moerasspirearuigte met poelruit en beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hftb+	moerasspirearuigte met poelruit en beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hj	vochtig grasland gedomineerd door russen	FALSE
hj-	vochtig grasland gedomineerd door russen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hj+	vochtig grasland gedomineerd door russen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hjb	vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen	FALSE
hjb-	vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hjb+	vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hk	kalkgrasland	TRUE
hk-	kalkgrasland, zwak ontwikkeld en/of weinig voorkomend	TRUE
hk+	kalkgrasland, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hkb	kalkgrasland met beperkte opslag van struiken en bomen	TRUE
hkb-	kalkgrasland met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
hkb+	kalkgrasland met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hm	vochtig schraalgrasland	FALSE
hm-	vochtig schraalgrasland, zwak ontwikkeld en/of weinig voorkomend	FALSE
hm+	vochtig schraalgrasland, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hmb	vochtig schraalgrasland met beperkte opslag van struiken en bomen	FALSE
hmb-	vochtig schraalgrasland met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
hmb+	vochtig schraalgrasland met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hme	vochtig schraalgrasland (kalkrijkere variant)	FALSE
hme-	vochtig schraalgrasland (kalkrijkere variant), zwak ontwikkeld en/of weinig voorkomend	FALSE
hme+	vochtig schraalgrasland (kalkrijkere variant), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hmm	vochtig schraalgrasland (zuurdere variant)	FALSE
hmm-	vochtig schraalgrasland (zuurdere variant), zwak ontwikkeld en/of weinig voorkomend	FALSE
hmm+	vochtig schraalgrasland (zuurdere variant), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hmo	vochtig heischraal grasland	FALSE
hmo-	vochtig heischraal grasland, zwak ontwikkeld en/of weinig voorkomend	FALSE
hmo+	vochtig heischraal grasland, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hn	droog heischraal grasland	TRUE
hn-	droog heischraal grasland, zwak ontwikkeld en/of weinig voorkomend	TRUE
hn+	droog heischraal grasland, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hnb	droog heischraal grasland met beperkte opslag van struiken en bomen	TRUE
hnb-	droog heischraal grasland met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
hnb+	droog heischraal grasland met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hp	soortenarm permanent cultuurgrasland	TRUE
hp-	soortenarm permanent cultuurgrasland, weinig voorkomend in complex	TRUE
hp+	soortenrijk permanent cultuurgrasland	TRUE
hpr	weilandcomplex met veel sloten en/of microreliëf	TRUE
hpr-	weilandcomplex met veel sloten en/of microreliëf, weinig voorkomend in complex	TRUE
hpr+	soortenrijk permanent cultuurgrasland (met uitgesproken microreliëf)	TRUE
hpu	weinig bemeste kalkrijke graslanden van de Maasuiterwaarden	TRUE
hpu-	weinig bemeste kalkrijke graslanden van de Maasuiterwaarden, zwak ontwikkeld en/of weinig voorkomend	TRUE
hpu+	weinig bemeste kalkrijke graslanden van de Maasuiterwaarden, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hr	verruigd grasland	TRUE
hr-	verruigd grasland, slechts banale soorten aanwezig	TRUE
hr+	verruigd grasland, (zeer) soortenrijk met minder algemene soorten	TRUE
hrb	verruigd grasland met beperkte opslag van struiken en bomen	TRUE
hrb-	verruigd grasland met beperkte opslag van struiken en bomen, slechts banale soorten aanwezig	TRUE
hrb+	verruigd grasland met beperkte opslag van struiken en bomen, (zeer) soortenrijk met minder algemene soorten	TRUE
hu	mesofiel hooiland	TRUE
hu-	mesofiel hooiland, zwak ontwikkeld en/of weinig voorkomend	TRUE
hu+	mesofiel hooiland, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hub	mesofiel hooiland met beperkte opslag van struiken en bomen	TRUE
hub-	mesofiel hooiland met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
hub+	mesofiel hooiland met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
hv	zinkgrasland	FALSE
hv-	zinkgrasland, zwak ontwikkeld en/of weinig voorkomend	FALSE
hv+	zinkgrasland, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
hx	zeer soortenarm, vaak tijdelijk grasland	TRUE
hx-	zeer soortenarm, vaak tijdelijk grasland, weinig voorkomend in complex	TRUE
hx+	zeer soortenarm, vaak tijdelijk grasland, veelvuldig voorkomend in complex	TRUE
hz	grasland op door zware metalen vergiftigde bodem	TRUE
hz-	grasland op door zware metalen vergiftigde bodem, zwak ontwikkeld en/of weinig voorkomend	TRUE
hz+	grasland op door zware metalen vergiftigde bodem, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
jug	okkernoot (Juglans regia)	FALSE
jun	jenerverbes (Juniperus communis)	FALSE
k	kleine landschapselementen	TRUE
k(ae-)	sloten met eutroof water, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(ae)	sloten met eutroof water	FALSE
k(ae+)	sloten met eutroof water, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(ah-)	sloten met zilt of brak water, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(ah)	sloten met zilt of brak water	FALSE
k(ah+)	sloten met zilt of brak water, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(ao-)	sloten met oligotroof water, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(ao)	sloten met oligotroof water	FALSE
k(ao+)	sloten met oligotroof water, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(aom-)	sloten met mesotroof water, sloten met mesotrafente soorten: weinig in aantal	FALSE
k(aom)	sloten met mesotroof water	FALSE
k(aom+)	sloten met mesotroof water, sloten met mesotrafente soorten: zeer veel en/of zeer soortenrijk	FALSE
k(cd-)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cd)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele	FALSE
k(cd+)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cdb-)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cdb)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele en met beperkte opslag van struiken en bomen	FALSE
k(cdb+)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van bochtige smele en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(ce-)	bermen, perceelsranden, . met vochtige tot natte dopheidevegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(ce)	bermen, perceelsranden, . met vochtige tot natte dopheidevegetatie	FALSE
k(ce+)	bermen, perceelsranden, . met vochtige tot natte dopheidevegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cg-)	bermen, perceelsranden, . met droge struikheidevegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cg)	bermen, perceelsranden, . met droge struikheidevegetatie	FALSE
k(cg+)	bermen, perceelsranden, . met droge struikheidevegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cgb-)	bermen, perceelsranden, . met droge struikheidevegetatie en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cgb)	bermen, perceelsranden, . met droge struikheidevegetatie en met beperkte opslag van struiken en bomen	FALSE
k(cgb+)	bermen, perceelsranden, . met droge struikheidevegetatie en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cm-)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van pijpenstrootje, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cm)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van pijpenstrootje	FALSE
k(cm+)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van pijpenstrootje, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cmb-)	bermen, perceelsranden, . gedegradeerde heide met dominantie van pijpenstrootje en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cmb)	bermen, perceelsranden, . gedegradeerde heide met dominantie van pijpenstrootje en met beperkte opslag van struiken en bomen	FALSE
k(cmb+)	bermen, perceelsranden, . gedegradeerde heide met dominantie van pijpenstrootje en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cp-)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cp)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren	FALSE
k(cp+)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(cpb-)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(cpb)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren en met beperkte opslag van struiken en bomen	FALSE
k(cpb+)	bermen, perceelsranden, . met gedegradeerde heide met dominantie van adelaarsvaren en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(da-)	bermen, perceelsranden, . met zilte elementen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(da)	bermen, perceelsranden, . met zilte elementen	FALSE
k(da+)	bermen, perceelsranden, . met zilte elementen, met goed ontwikkelde da en/of veel in aantal	FALSE
k(ha-)	bermen, perceelsranden, . met struisgrasvegetatie, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(ha)	bermen, perceelsranden, . met struisgrasvegetatie	TRUE
k(ha+)	bermen, perceelsranden, . met struisgrasvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(hab-)	bermen, perceelsranden, . met struisgrasvegetatie en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hab)	bermen, perceelsranden, . met struisgrasvegetatie en met beperkte opslag van struiken en bomen	TRUE
k(hab+)	bermen, perceelsranden, . met struisgrasvegetatie en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(hac-)	bermen, perceelsranden, ë met buntgrasverbond, weinig in aantal maar relatief goed ontwikkeld	FALSE
